# Tag       	# Phase	# Symbole	# Name
2023-02-22	 2.289	🌒	Zunehmender Sichelmond
2023-02-23	 3.378	🌒	Zunehmender Sichelmond
2023-02-24	 4.389	🌒	Zunehmender Sichelmond
2023-02-25	 5.400	🌒	Zunehmender Sichelmond
2023-02-26	 6.333	🌒	Zunehmender Sichelmond
2023-02-27	 7.189	🌓	Erstes Viertel
2023-02-28	 8.122	🌔	Zunehmender Mond
2023-03-01	 8.978	🌔	Zunehmender Mond
2023-03-02	 9.833	🌔	Zunehmender Mond
2023-03-03	10.611	🌔	Zunehmender Mond
2023-03-04	11.467	🌔	Zunehmender Mond
2023-03-05	12.322	🌔	Zunehmender Mond
2023-03-06	13.178	🌔	Zunehmender Mond
2023-03-07	14.033	🌕	Vollmond
2023-03-08	14.889	🌖	Abnehmender Mond
2023-03-09	15.745	🌖	Abnehmender Mond
2023-03-10	16.678	🌖	Abnehmender Mond
2023-03-11	17.611	🌖	Abnehmender Mond
2023-03-12	18.545	🌖	Abnehmender Mond
2023-03-13	19.478	🌖	Abnehmender Mond
2023-03-14	20.411	🌖	Abnehmender Mond
2023-03-15	21.422	🌗	Letztes Viertel
2023-03-16	22.433	🌘	Abnehmender Sichelmond
2023-03-17	23.445	🌘	Abnehmender Sichelmond
2023-03-18	24.533	🌘	Abnehmender Sichelmond
2023-03-19	25.622	🌘	Abnehmender Sichelmond
2023-03-20	26.633	🌘	Abnehmender Sichelmond
2023-03-21	27.722	🌘	Abnehmender Sichelmond
2023-03-22	 0.811	🌑	Neumond
2023-03-23	 1.822	🌒	Zunehmender Sichelmond
2023-03-24	 2.833	🌒	Zunehmender Sichelmond
2023-03-25	 3.845	🌒	Zunehmender Sichelmond
2023-03-26	 4.778	🌒	Zunehmender Sichelmond
2023-03-27	 5.711	🌒	Zunehmender Sichelmond
2023-03-28	 6.567	🌒	Zunehmender Sichelmond
2023-03-29	 7.422	🌓	Erstes Viertel
2023-03-30	 8.278	🌔	Zunehmender Mond
2023-03-31	 9.133	🌔	Zunehmender Mond
2023-04-01	 9.911	🌔	Zunehmender Mond
2023-04-02	10.767	🌔	Zunehmender Mond
2023-04-03	11.622	🌔	Zunehmender Mond
2023-04-04	12.478	🌔	Zunehmender Mond
2023-04-05	13.411	🌔	Zunehmender Mond
2023-04-06	14.345	🌕	Vollmond
2023-04-07	15.278	🌖	Abnehmender Mond
2023-04-08	16.211	🌖	Abnehmender Mond
2023-04-09	17.145	🌖	Abnehmender Mond
2023-04-10	18.156	🌖	Abnehmender Mond
2023-04-11	19.089	🌖	Abnehmender Mond
2023-04-12	20.100	🌖	Abnehmender Mond
2023-04-13	21.111	🌗	Letztes Viertel
2023-04-14	22.122	🌘	Abnehmender Sichelmond
2023-04-15	23.133	🌘	Abnehmender Sichelmond
2023-04-16	24.222	🌘	Abnehmender Sichelmond
2023-04-17	25.233	🌘	Abnehmender Sichelmond
2023-04-18	26.245	🌘	Abnehmender Sichelmond
2023-04-19	27.333	🌘	Abnehmender Sichelmond
2023-04-20	 0.345	🌑	Neumond
2023-04-21	 1.278	🌒	Zunehmender Sichelmond
2023-04-22	 2.289	🌒	Zunehmender Sichelmond
2023-04-23	 3.222	🌒	Zunehmender Sichelmond
2023-04-24	 4.156	🌒	Zunehmender Sichelmond
2023-04-25	 5.011	🌒	Zunehmender Sichelmond
2023-04-26	 5.945	🌒	Zunehmender Sichelmond
2023-04-27	 6.722	🌒	Zunehmender Sichelmond
2023-04-28	 7.578	🌓	Erstes Viertel
2023-04-29	 8.433	🌔	Zunehmender Mond
2023-04-30	 9.289	🌔	Zunehmender Mond
2023-05-01	10.145	🌔	Zunehmender Mond
2023-05-02	11.000	🌔	Zunehmender Mond
2023-05-03	11.933	🌔	Zunehmender Mond
2023-05-04	12.867	🌔	Zunehmender Mond
2023-05-05	13.800	🌔	Zunehmender Mond
2023-05-06	14.811	🌕	Vollmond
2023-05-07	15.745	🌖	Abnehmender Mond
2023-05-08	16.756	🌖	Abnehmender Mond
2023-05-09	17.767	🌖	Abnehmender Mond
2023-05-10	18.856	🌖	Abnehmender Mond
2023-05-11	19.867	🌖	Abnehmender Mond
2023-05-12	20.878	🌖	Abnehmender Mond
2023-05-13	21.889	🌗	Letztes Viertel
2023-05-14	22.900	🌘	Abnehmender Sichelmond
2023-05-15	23.911	🌘	Abnehmender Sichelmond
2023-05-16	24.922	🌘	Abnehmender Sichelmond
2023-05-17	25.933	🌘	Abnehmender Sichelmond
2023-05-18	26.867	🌘	Abnehmender Sichelmond
2023-05-19	27.878	🌘	Abnehmender Sichelmond
2023-05-20	 0.811	🌑	Neumond
2023-05-21	 1.745	🌒	Zunehmender Sichelmond
2023-05-22	 2.678	🌒	Zunehmender Sichelmond
2023-05-23	 3.533	🌒	Zunehmender Sichelmond
2023-05-24	 4.389	🌒	Zunehmender Sichelmond
2023-05-25	 5.245	🌒	Zunehmender Sichelmond
2023-05-26	 6.100	🌒	Zunehmender Sichelmond
2023-05-27	 6.956	🌒	Zunehmender Sichelmond
2023-05-28	 7.811	🌓	Erstes Viertel
2023-05-29	 8.667	🌔	Zunehmender Mond
2023-05-30	 9.522	🌔	Zunehmender Mond
2023-05-31	10.456	🌔	Zunehmender Mond
2023-06-01	11.389	🌔	Zunehmender Mond
2023-06-02	12.322	🌔	Zunehmender Mond
2023-06-03	13.333	🌔	Zunehmender Mond
2023-06-04	14.345	🌕	Vollmond
2023-06-05	15.433	🌖	Abnehmender Mond
2023-06-06	16.445	🌖	Abnehmender Mond
2023-06-07	17.533	🌖	Abnehmender Mond
2023-06-08	18.545	🌖	Abnehmender Mond
2023-06-09	19.633	🌖	Abnehmender Mond
2023-06-10	20.645	🌖	Abnehmender Mond
2023-06-11	21.656	🌗	Letztes Viertel
2023-06-12	22.667	🌘	Abnehmender Sichelmond
2023-06-13	23.678	🌘	Abnehmender Sichelmond
2023-06-14	24.611	🌘	Abnehmender Sichelmond
2023-06-15	25.545	🌘	Abnehmender Sichelmond
2023-06-16	26.478	🌘	Abnehmender Sichelmond
2023-06-17	27.411	🌘	Abnehmender Sichelmond
2023-06-18	 0.345	🌑	Neumond
2023-06-19	 1.200	🌒	Zunehmender Sichelmond
2023-06-20	 2.133	🌒	Zunehmender Sichelmond
2023-06-21	 2.989	🌒	Zunehmender Sichelmond
2023-06-22	 3.845	🌒	Zunehmender Sichelmond
2023-06-23	 4.622	🌒	Zunehmender Sichelmond
2023-06-24	 5.478	🌒	Zunehmender Sichelmond
2023-06-25	 6.333	🌒	Zunehmender Sichelmond
2023-06-26	 7.189	🌓	Erstes Viertel
2023-06-27	 8.045	🌔	Zunehmender Mond
2023-06-28	 8.978	🌔	Zunehmender Mond
2023-06-29	 9.911	🌔	Zunehmender Mond
2023-06-30	10.922	🌔	Zunehmender Mond
2023-07-01	11.933	🌔	Zunehmender Mond
2023-07-02	12.945	🌔	Zunehmender Mond
2023-07-03	14.033	🌕	Vollmond
2023-07-04	15.045	🌖	Abnehmender Mond
2023-07-05	16.133	🌖	Abnehmender Mond
2023-07-06	17.222	🌖	Abnehmender Mond
2023-07-07	18.311	🌖	Abnehmender Mond
2023-07-08	19.400	🌖	Abnehmender Mond
2023-07-09	20.411	🌖	Abnehmender Mond
2023-07-10	21.422	🌗	Letztes Viertel
2023-07-11	22.356	🌘	Abnehmender Sichelmond
2023-07-12	23.367	🌘	Abnehmender Sichelmond
2023-07-13	24.300	🌘	Abnehmender Sichelmond
2023-07-14	25.156	🌘	Abnehmender Sichelmond
2023-07-15	26.089	🌘	Abnehmender Sichelmond
2023-07-16	26.945	🌘	Abnehmender Sichelmond
2023-07-17	27.878	🌘	Abnehmender Sichelmond
2023-07-18	 0.733	🌑	Neumond
2023-07-19	 1.589	🌒	Zunehmender Sichelmond
2023-07-20	 2.367	🌒	Zunehmender Sichelmond
2023-07-21	 3.222	🌒	Zunehmender Sichelmond
2023-07-22	 4.078	🌒	Zunehmender Sichelmond
2023-07-23	 4.933	🌒	Zunehmender Sichelmond
2023-07-24	 5.789	🌒	Zunehmender Sichelmond
2023-07-25	 6.645	🌒	Zunehmender Sichelmond
2023-07-26	 7.578	🌓	Erstes Viertel
2023-07-27	 8.511	🌔	Zunehmender Mond
2023-07-28	 9.445	🌔	Zunehmender Mond
2023-07-29	10.456	🌔	Zunehmender Mond
2023-07-30	11.467	🌔	Zunehmender Mond
2023-07-31	12.556	🌔	Zunehmender Mond
2023-08-01	13.645	🌔	Zunehmender Mond
2023-08-02	14.733	🌕	Vollmond
2023-08-03	15.822	🌖	Abnehmender Mond
2023-08-04	16.911	🌖	Abnehmender Mond
2023-08-05	18.000	🌖	Abnehmender Mond
2023-08-06	19.089	🌖	Abnehmender Mond
2023-08-07	20.100	🌖	Abnehmender Mond
2023-08-08	21.111	🌗	Letztes Viertel
2023-08-09	22.045	🌘	Abnehmender Sichelmond
2023-08-10	22.978	🌘	Abnehmender Sichelmond
2023-08-11	23.833	🌘	Abnehmender Sichelmond
2023-08-12	24.767	🌘	Abnehmender Sichelmond
2023-08-13	25.622	🌘	Abnehmender Sichelmond
2023-08-14	26.478	🌘	Abnehmender Sichelmond
2023-08-15	27.333	🌘	Abnehmender Sichelmond
2023-08-16	 0.189	🌑	Neumond
2023-08-17	 0.967	🌒	Zunehmender Sichelmond
2023-08-18	 1.822	🌒	Zunehmender Sichelmond
2023-08-19	 2.678	🌒	Zunehmender Sichelmond
2023-08-20	 3.533	🌒	Zunehmender Sichelmond
2023-08-21	 4.389	🌒	Zunehmender Sichelmond
2023-08-22	 5.322	🌒	Zunehmender Sichelmond
2023-08-23	 6.178	🌒	Zunehmender Sichelmond
2023-08-24	 7.111	🌓	Erstes Viertel
2023-08-25	 8.045	🌔	Zunehmender Mond
2023-08-26	 9.056	🌔	Zunehmender Mond
2023-08-27	10.067	🌔	Zunehmender Mond
2023-08-28	11.156	🌔	Zunehmender Mond
2023-08-29	12.245	🌔	Zunehmender Mond
2023-08-30	13.333	🌔	Zunehmender Mond
2023-08-31	14.422	🌕	Vollmond
2023-09-01	15.511	🌖	Abnehmender Mond
2023-09-02	16.600	🌖	Abnehmender Mond
2023-09-03	17.611	🌖	Abnehmender Mond
2023-09-04	18.700	🌖	Abnehmender Mond
2023-09-05	19.711	🌖	Abnehmender Mond
2023-09-06	20.645	🌖	Abnehmender Mond
2023-09-07	21.578	🌗	Letztes Viertel
2023-09-08	22.511	🌘	Abnehmender Sichelmond
2023-09-09	23.367	🌘	Abnehmender Sichelmond
2023-09-10	24.222	🌘	Abnehmender Sichelmond
2023-09-11	25.078	🌘	Abnehmender Sichelmond
2023-09-12	25.933	🌘	Abnehmender Sichelmond
2023-09-13	26.711	🌘	Abnehmender Sichelmond
2023-09-14	27.567	🌘	Abnehmender Sichelmond
2023-09-15	 0.422	🌑	Neumond
2023-09-16	 1.278	🌒	Zunehmender Sichelmond
2023-09-17	 2.133	🌒	Zunehmender Sichelmond
2023-09-18	 3.067	🌒	Zunehmender Sichelmond
2023-09-19	 3.922	🌒	Zunehmender Sichelmond
2023-09-20	 4.856	🌒	Zunehmender Sichelmond
2023-09-21	 5.789	🌒	Zunehmender Sichelmond
2023-09-22	 6.722	🌒	Zunehmender Sichelmond
2023-09-23	 7.733	🌓	Erstes Viertel
2023-09-24	 8.745	🌔	Zunehmender Mond
2023-09-25	 9.756	🌔	Zunehmender Mond
2023-09-26	10.767	🌔	Zunehmender Mond
2023-09-27	11.856	🌔	Zunehmender Mond
2023-09-28	12.945	🌔	Zunehmender Mond
2023-09-29	14.033	🌕	Vollmond
2023-09-30	15.122	🌖	Abnehmender Mond
2023-10-01	16.133	🌖	Abnehmender Mond
2023-10-02	17.222	🌖	Abnehmender Mond
2023-10-03	18.233	🌖	Abnehmender Mond
2023-10-04	19.167	🌖	Abnehmender Mond
2023-10-05	20.100	🌖	Abnehmender Mond
2023-10-06	21.033	🌗	Letztes Viertel
2023-10-07	21.889	🌘	Abnehmender Sichelmond
2023-10-08	22.745	🌘	Abnehmender Sichelmond
2023-10-09	23.600	🌘	Abnehmender Sichelmond
2023-10-10	24.456	🌘	Abnehmender Sichelmond
2023-10-11	25.233	🌘	Abnehmender Sichelmond
2023-10-12	26.089	🌘	Abnehmender Sichelmond
2023-10-13	26.945	🌘	Abnehmender Sichelmond
2023-10-14	27.800	🌘	Abnehmender Sichelmond
2023-10-15	 0.733	🌑	Neumond
2023-10-16	 1.589	🌒	Zunehmender Sichelmond
2023-10-17	 2.522	🌒	Zunehmender Sichelmond
2023-10-18	 3.456	🌒	Zunehmender Sichelmond
2023-10-19	 4.467	🌒	Zunehmender Sichelmond
2023-10-20	 5.400	🌒	Zunehmender Sichelmond
2023-10-21	 6.411	🌒	Zunehmender Sichelmond
2023-10-22	 7.345	🌓	Erstes Viertel
2023-10-23	 8.356	🌔	Zunehmender Mond
2023-10-24	 9.445	🌔	Zunehmender Mond
2023-10-25	10.456	🌔	Zunehmender Mond
2023-10-26	11.467	🌔	Zunehmender Mond
2023-10-27	12.556	🌔	Zunehmender Mond
2023-10-28	13.567	🌔	Zunehmender Mond
2023-10-29	14.656	🌕	Vollmond
2023-10-30	15.667	🌖	Abnehmender Mond
2023-10-31	16.678	🌖	Abnehmender Mond
